index,date,title,content,score,avgscore
1,2021-01-30 07:10:54+00:00,ascension," great movie! the distinctive characterizations, slow-building suspense, claustrophobic anxiety, sigourney weaver's gradual ascension to a commanding presence. it's the kind of horror movie that takes me outta my comfort zone & into a setting that's completely, ahem, alien.",5,3.8333333333333335
2,2021-02-27 21:19:50+00:00,ascension,it was good! i’ll admit it he’s a pretty good actor. reminds me of the mark wahlberg ascension to movie stardom.,4,3.8333333333333335
3,2021-02-27 18:11:34+00:00,ascension, david blaine magic ascension 2020 ascension cinema (mother’s day)- my “winks” from god &  “hugs” from my angel ❤️,5,3.8333333333333335
4,2021-03-29 21:35:12+00:00,ascension," they could easily do a movie based off one of the books where shepard isn't involved at all and there's no player choice.  i'd love to see a movie about the ascension project, personally.",2,3.8333333333333335
5,2021-03-29 17:43:15+00:00,ascension,"   after i saw the movie, i realized that ""rise"" must've been their sneaky code for ""rise to heaven"". i know i'm not the only one that believes this, and it seems to be confirmed by a lot of the overseas posters. when translated into other languages, they use the word ""ascension"".",3,3.8333333333333335
6,2021-01-29 14:22:29+00:00,ascension,"after seeing some of the face off maps. i would love to see like the kino stage, asylum middle yard, ascension swamp lunar landar, moon out by mule kick, shangri la starting area. it would be cool for some zombies stuff in mp ",4,3.8333333333333335
7,2021-01-23 08:29:52+00:00,attica, half an hour in before i realised i was watching ali g. great movie. further reading; kent state by  and big black stand at attica by jared reinmuth and ameziane.,5,4.333333333333333
8,2021-02-26 01:57:16+00:00,attica,"  i love that movie.  ""warriors come out to plaaaay.""  ""attica.  attica!""  wait, i'm getting closer.  ""let the brothers go.  let the brothers go!""",5,4.333333333333333
9,2021-02-20 16:50:17+00:00,attica," lol, reminds me of how in the 90s john frankenheimer made a movie abt attica with kyle maclachlan as the lead. im sure its solid but just cracks me up a little",3,4.333333333333333
10,2021-03-24 23:38:09+00:00,billie eilish: the world's a little blurry,nossa imagina que massa ir ver o the world's a little blurry no cinema billie eilish por favor,1,3.3333333333333335
11,2021-03-16 23:01:47+00:00,billie eilish: the world's a little blurry," billie eilish: the world’s a little blurry, jungle cruise, dear evan hansen, the new david o russell movie, the french dispatch, last night in soho, west side story, blonde, the conjuring 3, elvis, armageddon time, the last duel, shang-chi, f9, the matrix 4, antlers, cherry",4,3.3333333333333335
12,2021-01-30 03:48:23+00:00,billie eilish: the world's a little blurry,‘billie eilish: the world’s a little blurry’ review: a very good documentary hang-out movie - variety 🙋  something to give away 🎁 ,4,3.3333333333333335
13,2021-01-02 21:02:17+00:00,billie eilish: the world's a little blurry,‘billie eilish: the world’s a little blurry’ review: a very good documentary hang-out movie  via ,4,3.3333333333333335
14,2021-02-27 21:36:01+00:00,billie eilish: the world's a little blurry,"it  sees to me that it could be a billie eilish song because i can't sing at all and these little sketches i made while watching the movie ""the world's a little blurry"", so here's billie's vibe🌫️ ",2,3.3333333333333335
15,2021-02-27 18:33:36+00:00,billie eilish: the world's a little blurry,"seeing : the world's a little blurry movie is just so perfect, like her story and all😥😥💯💯🌟🌟",5,3.3333333333333335
16,2021-03-27 18:44:39+00:00,faya dayi,"faya dayi is totally mesmerizing. a black and white visual poem that brings to life a culture and people seldom if ever depicted on screen. vital, vital vital cinema.",5,5.0
